"report_group","corpus_family","language_guess","encoding","event","metric","z","p_emp","input"
"corpus_batch_curated","parallel_udhr","de","grapheme","vowel","prime_gap_affinity","-5.891222345544","0.038461538462",""
"corpus_batch_curated","parallel_udhr","tr","word_boundary","word_boundary","run_entropy","-5.86697660023","0.038461538462",""
"corpus_batch_curated","parallel_udhr","is","grapheme","punctuation","gap_entropy","-5.866198607372","0.038461538462",""
"corpus_batch_curated","parallel_udhr","zh","word_boundary","word_boundary","gap_entropy","-5.789330666999","0.038461538462",""
"corpus_batch_curated","parallel_udhr","tr","grapheme_class","punctuation","gap_entropy","-5.74972337372","0.038461538462",""
"corpus_batch_curated","controls","mesu","grapheme_class","consonant","prime_gap_affinity","5.741771178244","0.038461538462",""
"corpus_batch_curated","controls","mesu","grapheme","consonant","prime_gap_affinity","5.714097955","0.038461538462",""
"corpus_batch_curated","parallel_udhr","ar","word_boundary","word_boundary","gap_entropy","-5.700491388945","0.038461538462",""
"corpus_batch_curated","parallel_udhr","de","word_boundary","word_boundary","run_entropy","-5.697216376319","0.038461538462",""
"corpus_batch_curated","parallel_udhr","ar","word_boundary","word_boundary","run_entropy","-5.686852208793","0.038461538462",""
"corpus_batch_curated","parallel_udhr","tr","word_boundary","word_boundary","prime_gap_affinity","-5.67112607022","0.038461538462",""
"corpus_batch_curated","parallel_udhr","is","grapheme","punctuation","run_entropy","-5.665827999396","0.038461538462",""
"corpus_batch_curated","parallel_udhr","la","word_boundary","word_boundary","gap_entropy","-5.531099638898","0.038461538462",""
"corpus_batch_curated","parallel_udhr","de","grapheme_class","vowel","prime_gap_affinity","-5.440682250678","0.038461538462",""
"corpus_batch_curated","parallel_udhr","de","grapheme","vowel","prime_gap_affinity","-5.43041359974","0.038461538462",""
"corpus_batch_curated","parallel_udhr","sw","grapheme_class","punctuation","run_entropy","-5.416927566211","0.038461538462",""
"corpus_batch_curated","parallel_udhr","la","word_boundary","word_boundary","run_entropy","-5.384072831651","0.038461538462",""
"corpus_batch_curated","controls","mesu","grapheme_class","punctuation","run_entropy","-5.373285536475","0.038461538462",""
"corpus_batch_curated","parallel_udhr","tr","grapheme_class","punctuation","run_entropy","-5.33242729133","0.038461538462",""
"corpus_batch_curated","parallel_udhr","sw","grapheme_class","punctuation","gap_entropy","-5.310366716384","0.038461538462",""
"corpus_batch_curated","parallel_udhr","is","grapheme_class","punctuation","run_entropy","-5.270080797879","0.038461538462",""
"corpus_batch_curated","controls","mesu","grapheme_class","punctuation","gap_entropy","-5.268455049515","0.038461538462",""
"corpus_batch_curated","controls","mesu","grapheme","punctuation","run_entropy","-5.230261578381","0.038461538462",""
"corpus_batch_curated","parallel_udhr","sw","grapheme","punctuation","gap_entropy","-5.202776268949","0.038461538462",""
"corpus_batch_curated","parallel_udhr","xh","grapheme_class","punctuation","gap_entropy","-5.202241521595","0.038461538462",""
"corpus_batch_curated","parallel_udhr","is","grapheme_class","punctuation","gap_entropy","-5.200785140818","0.038461538462",""
"corpus_batch_curated","parallel_udhr","sw","grapheme","punctuation","run_entropy","-5.137189572804","0.038461538462",""
"corpus_batch_curated","parallel_udhr","xh","grapheme_class","punctuation","run_entropy","-5.134950405702","0.038461538462",""
"corpus_batch_curated","parallel_udhr","is","grapheme","vowel","prime_gap_affinity","-5.045817706287","0.038461538462",""
"corpus_batch_curated","controls","mesu","grapheme","punctuation","gap_entropy","-5.044588938992","0.038461538462",""
"corpus_batch_curated","parallel_udhr","tr","grapheme","punctuation","gap_entropy","-5.022962814112","0.038461538462",""
"corpus_batch_curated","parallel_udhr","la","grapheme_class","vowel","prime_gap_affinity","-4.984417918146","0.038461538462",""
"corpus_batch_curated","parallel_udhr","tr","grapheme","punctuation","run_entropy","-4.762052466091","0.038461538462",""
"corpus_batch_curated","parallel_udhr","de","word_boundary","word_boundary","gap_entropy","-4.73895873492","0.038461538462",""
"corpus_batch_curated","parallel_udhr","fr","grapheme","vowel","prime_gap_affinity","-4.657302934814","0.038461538462",""
"corpus_batch_curated","parallel_udhr","de","grapheme_class","vowel","prime_gap_affinity","-4.635152614421","0.038461538462",""
"corpus_batch_curated","parallel_udhr","is","grapheme_class","punctuation","prime_gap_affinity","4.5909134725","0.038461538462",""
"corpus_batch_curated","parallel_udhr","la","grapheme","vowel","prime_gap_affinity","-4.581590347422","0.038461538462",""
"corpus_batch_curated","parallel_udhr","is","grapheme_class","vowel","prime_gap_affinity","-4.580210201272","0.038461538462",""
"corpus_batch_curated","parallel_udhr","es","word_boundary","word_boundary","run_entropy","-4.543950107003","0.038461538462",""
"corpus_batch_curated","parallel_udhr","xh","grapheme","punctuation","gap_entropy","-4.539219034975","0.038461538462",""
"corpus_batch_curated","parallel_udhr","el","word_boundary","word_boundary","run_entropy","-4.498574960169","0.038461538462",""
"corpus_batch_curated","controls","mesu","grapheme_class","consonant","run_entropy","-4.442298778181","0.038461538462",""
"corpus_batch_curated","parallel_udhr","xh","grapheme","punctuation","run_entropy","-4.429391377363","0.038461538462",""
"corpus_batch_curated","controls","mesu","grapheme","consonant","run_entropy","-4.428421266963","0.038461538462",""
"corpus_batch_curated","parallel_udhr","he","grapheme_class","consonant","run_entropy","-4.42475708021","0.038461538462",""
"corpus_batch_curated","parallel_udhr","el","word_boundary","word_boundary","prime_gap_affinity","-4.397705108313","0.038461538462",""
"corpus_batch_curated","parallel_udhr","zh","word_boundary","word_boundary","run_entropy","-4.359663097566","0.038461538462",""
"corpus_batch_curated","parallel_udhr","he","grapheme","consonant","run_entropy","-4.245443505342","0.038461538462",""
"corpus_batch_curated","parallel_udhr","is","grapheme","punctuation","prime_gap_affinity","4.220647712834","0.038461538462",""
"corpus_batch_curated","parallel_udhr","fr","grapheme","vowel","prime_gap_affinity","-4.206646824262","0.038461538462",""
"corpus_batch_curated","controls","mesu","word_boundary","word_boundary","gap_entropy","-4.182176320726","0.038461538462",""
"corpus_batch_curated","parallel_udhr","de","grapheme_class","vowel","gap_entropy","-4.107559665905","0.038461538462",""
"corpus_batch_curated","parallel_udhr","de","word_boundary","word_boundary","run_entropy","-4.087717837156","0.038461538462",""
"corpus_batch_curated","controls","mesu","grapheme","vowel","prime_gap_affinity","4.082195767123","0.038461538462",""
"corpus_batch_curated","parallel_udhr","mesu","grapheme_class","consonant","critical_line_symmetry","-3.825447979757","0.038461538462",""
"corpus_batch_curated","parallel_udhr","xh","grapheme","consonant","prime_gap_affinity","-3.803000872033","0.038461538462",""
"corpus_batch_curated","parallel_udhr","ar","word_boundary","word_boundary","prime_gap_affinity","-3.798799405506","0.038461538462",""
"corpus_batch_curated","parallel_udhr","es","word_boundary","word_boundary","run_entropy","-3.794896850621","0.038461538462",""
"corpus_batch_curated","parallel_udhr","tr","frequency_class","high_frequency","prime_index_occupancy_bias","3.789489030377","0.038461538462",""
"corpus_batch_curated","parallel_udhr","fr","word_boundary","word_boundary","gap_entropy","-3.78734579098","0.038461538462",""
"corpus_batch_curated","controls","mesu","grapheme_class","vowel","prime_gap_affinity","3.661511105317","0.038461538462",""
"corpus_batch_curated","parallel_udhr","en","word_boundary","word_boundary","run_entropy","-3.460332545533","0.038461538462",""
"corpus_batch_curated","controls","mesu","grapheme_class","vowel","prime_gap_affinity","-3.440153806955","0.038461538462",""
"corpus_batch_curated","parallel_udhr","xh","grapheme","vowel","prime_index_occupancy_bias","-3.436276278159","0.038461538462",""
"corpus_batch_curated","parallel_udhr","es","grapheme","vowel","prime_gap_affinity","-3.389609974127","0.038461538462",""
"corpus_batch_curated","parallel_udhr","fr","grapheme_class","vowel","prime_gap_affinity","-3.384548702695","0.038461538462",""
"corpus_batch_curated","parallel_udhr","xh","grapheme_class","consonant","prime_gap_affinity","-3.328879101076","0.038461538462",""
"corpus_batch_curated","parallel_udhr","es","grapheme_class","vowel","prime_gap_affinity","-3.309155628874","0.038461538462",""
"corpus_batch_curated","parallel_udhr","sw","word_boundary","word_boundary","prime_gap_affinity","3.282971234792","0.038461538462",""
"corpus_batch_curated","parallel_udhr","fr","word_boundary","word_boundary","run_entropy","-3.225906391967","0.038461538462",""
"corpus_batch_curated","parallel_udhr","es","grapheme","vowel","prime_gap_affinity","-3.209531054491","0.038461538462",""
"corpus_batch_curated","parallel_udhr","es","grapheme_class","vowel","prime_gap_affinity","-3.194050290964","0.038461538462",""
"corpus_batch_curated","parallel_udhr","zh","frequency_class","hapax","critical_line_symmetry","3.171556518185","0.038461538462",""
"corpus_batch_curated","parallel_udhr","ja","word_boundary","word_boundary","prime_gap_affinity","3.156652180556","0.038461538462",""
"corpus_batch_curated","parallel_udhr","zh","grapheme","vowel","prime_index_occupancy_bias","3.139242011331","0.038461538462",""
"corpus_batch_curated","parallel_udhr","zh","grapheme_class","vowel","prime_index_occupancy_bias","3.137116328685","0.038461538462",""
"corpus_batch_curated","parallel_udhr","fr","grapheme_class","vowel","prime_gap_affinity","-3.110023693066","0.038461538462",""
"corpus_batch_curated","parallel_udhr","zh","grapheme","consonant","prime_gap_affinity","-3.030294757252","0.038461538462",""
"corpus_batch_curated","parallel_udhr","zh","frequency_class","hapax","critical_line_symmetry","3.010161304994","0.038461538462",""
